rain_band,fclass,tod,n,mean_deviation,sd,ci_low,ci_high,pct_speed_loss,dry_reference,delta_vs_none_pct
light,motorway,am_peak,91,-0.10932645115855344,0.33233535922619123,-0.17760809206846562,-0.04104481024864126,-10.93,-0.015414324552252024,-9.391
light,motorway,midday,72,0.08982541755139117,0.2472359878242871,0.03271786692717578,0.14693296817560658,8.98,-0.023916316184194972,11.374
light,motorway,night,144,0.0017815346528961351,0.1724128671196568,-0.026378716404713117,0.029941785710505386,0.18,-0.0009896011698952336,0.277
light,other,am_peak,1676,-0.11977663004935438,0.5758584758405753,-0.14734600060616507,-0.09220725949254369,-11.98,-0.10911768774833451,-1.066
light,other,evening,576,-0.16899925520997192,0.4700582061429076,-0.20738663695766682,-0.130611873462277,-16.9,-0.05815157377618972,-11.085
light,other,midday,1591,-0.007317499332341481,0.2627872516998579,-0.020230206360533375,0.005595207695850412,-0.73,-0.008627114228835022,0.131
light,other,night,2209,-0.12661328070861833,0.5258747582720523,-0.14854297421334012,-0.10468358720389652,-12.66,-0.06752318439174243,-5.909
light,other,pm_peak,641,-0.07952511181501183,0.3202619031882127,-0.1043178423293051,-0.05473238130071856,-7.95,-0.033960096971481245,-4.557
light,primary,am_peak,10054,-0.0634698398002586,0.3515096102399127,-0.07034077506944052,-0.05659890453107668,-6.35,-0.04396060677931083,-1.951
light,primary,evening,3244,-0.027089964963649665,0.20080584274512273,-0.03400005994266769,-0.02017986998463164,-2.71,-0.009634244810942365,-1.746
light,primary,midday,9371,-0.016890215249997564,0.1773016427098836,-0.0204799956738068,-0.01330043482618833,-1.69,-0.002340929296193947,-1.455
light,primary,night,12309,-0.09154604286285692,0.417203532646599,-0.09891633471750035,-0.08417575100821349,-9.15,-0.046461815630724435,-4.508
light,primary,pm_peak,4198,-0.057971853428406606,0.4507604023624302,-0.07160740264300376,-0.04433630421380945,-5.8,-0.054614802725694495,-0.336
light,secondary,am_peak,10228,-0.012854376600554319,0.19458486446254192,-0.016625422261182278,-0.00908333093992636,-1.29,-0.004620077455948731,-0.823
light,secondary,evening,2979,-0.00365706752709086,0.11347304850584747,-0.007731860658051239,0.0004177256038695189,-0.37,-0.021024958192257952,1.737
light,secondary,midday,8473,-0.003901506471688709,0.13837167515189533,-0.006847804599930701,-0.0009552083434467159,-0.39,-0.001018101948377915,-0.288
light,secondary,night,10721,0.0014708030492629905,0.20803372611786522,-0.0024670925161115686,0.005408698614637549,0.15,-0.02954653265092356,3.102
light,secondary,pm_peak,3826,0.01592188701695488,0.20217461973858555,0.009515661152357996,0.022328112881551766,1.59,0.0035346538619222905,1.239
light,secondary_link,am_peak,586,-0.14441581256332667,0.4442764439282042,-0.18038681770055393,-0.1084448074260994,-14.44,-0.09976834475800568,-4.465
light,secondary_link,evening,240,-0.08599857955165463,0.3350714959159948,-0.1283901941492614,-0.04360696495404788,-8.6,-0.05136596525289333,-3.463
light,secondary_link,midday,598,-0.0019364300130635683,0.14678646796806433,-0.013701202226629197,0.00982834220050206,-0.19,0.0018502754999966356,-0.379
light,secondary_link,night,854,-0.1338815513820044,0.47926869732354366,-0.16602542588053354,-0.10173767688347525,-13.39,-0.06310127991270921,-7.078
light,secondary_link,pm_peak,239,-0.08955291348525758,0.471007478235358,-0.1492670211043062,-0.02983880586620897,-8.96,-0.059633051074282406,-2.992
light,tertiary,am_peak,3960,-0.07210003318854766,0.3144692727268382,-0.08189445306347089,-0.06230561331362442,-7.21,-0.054849298359946,-1.725
light,tertiary,evening,1306,-0.05133415472749327,0.2503888491234645,-0.06491389582261542,-0.03775441363237112,-5.13,-0.033473297794447014,-1.786
light,tertiary,midday,3918,0.002922944395122796,0.13341021643439746,-0.0012544450717853596,0.007100333862030951,0.29,-0.002740822772804854,0.566
light,tertiary,night,4805,-0.02998964749277866,0.34283174882457473,-0.039683188068273256,-0.020296106917284062,-3.0,-0.030436083952326973,0.045
light,tertiary,pm_peak,1827,-0.016640149741563942,0.27261948052630425,-0.02914088928699083,-0.004139410196137054,-1.66,-0.017628613228117117,0.099
light,trunk,am_peak,24434,-0.03516641848990302,0.2804883108998802,-0.03868336349140334,-0.0316494734884027,-3.52,-0.03029436169838255,-0.487
light,trunk,evening,8489,-0.042831823692348225,0.22709202208882712,-0.04766265314063541,-0.03800099424406104,-4.28,-0.005028122647110194,-3.78
light,trunk,midday,21820,-0.014776219200549496,0.19590359108941582,-0.017375559370556733,-0.012176879030542258,-1.48,-0.002382927203962122,-1.239
light,trunk,night,35349,-0.06992890435914441,0.32248911789505846,-0.07329072541222863,-0.06656708330606019,-6.99,-0.03708716552066216,-3.284
light,trunk,pm_peak,8994,-0.13325598821886725,0.4761028715013988,-0.14309547515967153,-0.12341650127806299,-13.33,-0.057496229167891204,-7.576
light,trunk_link,am_peak,196,-0.013710080056282596,0.19004362805065453,-0.04031569929975924,0.012895539187194053,-1.37,-0.009611108543108952,-0.41
light,trunk_link,evening,36,-0.02470420416874273,0.16201017461601355,-0.07762655581559279,0.02821814747810733,-2.47,-0.01621722650736168,-0.849
light,trunk_link,midday,308,-0.17215988952020414,0.5630363658263452,-0.23503940441008914,-0.10928037463031916,-17.22,-0.046491344989248964,-12.567
light,trunk_link,night,250,-0.08269797662932198,0.28896504909404436,-0.11851779729949063,-0.04687815595915331,-8.27,0.011535824488889648,-9.423
light,trunk_link,pm_peak,151,-0.09922557523787566,0.2565870741863181,-0.1401511130604832,-0.058300037415268124,-9.92,-0.010019774762427939,-8.921
moderate,motorway,evening,36,0.11744977511612505,0.2016573477133593,0.051576251473847284,0.1833232987584028,11.74,0.010318873722365623,10.713
moderate,other,am_peak,144,0.0010624797122363112,0.20798828893973384,-0.032908316849720065,0.035033276274192685,0.11,-0.10911768774833451,11.018
moderate,other,evening,324,-0.05569118672565553,0.306570018981892,-0.08907264231920137,-0.022309731132109697,-5.57,-0.05815157377618972,0.246
moderate,other,midday,264,-0.043632636572277186,0.22226474608788047,-0.07044386512043342,-0.016821408024120955,-4.36,-0.008627114228835022,-3.501
moderate,other,night,37,-0.308565421407808,0.5166569442417903,-0.4750406053427413,-0.14209023747287475,-30.86,-0.06752318439174243,-24.104
moderate,other,pm_peak,263,-0.04467640753419735,0.3157008689294358,-0.08283092780853027,-0.006521887259864426,-4.47,-0.033960096971481245,-1.072
moderate,primary,am_peak,1460,-0.01982567845349308,0.1769345371699856,-0.028901465162053393,-0.010749891744932768,-1.98,-0.04396060677931083,2.413
